Linha 1, Classe = 0
Linha 74, Classe = 1
Linha 207, Classe = 0
Linha 447, Classe = 0
Linha 820, Classe = 1
Linha 883, Classe = 0
Linha 385, Classe = 0
Linha 323, Classe = 0
Linha 16, Classe = 0
Linha 946, Classe = 0
Linha 759, Classe = 0
Linha 510, Classe = 1
Linha 571, Classe = 1
Linha 511, Classe = 0
Linha 695, Classe = 0
Linha 138, Classe = 0
Linha 261, Classe = 0
Linha 75, Classe = 0
Linha 448, Classe = 1
Linha 208, Classe = 0
Linha 821, Classe = 0
Linha 884, Classe = 0
Linha 386, Classe = 0
Linha 324, Classe = 1
Linha 387, Classe = 0
Linha 947, Classe = 1
Linha 760, Classe = 1
Linha 633, Classe = 1
Linha 761, Classe = 0
Linha 512, Classe = 1
Linha 696, Classe = 0
Linha 513, Classe = 1
Linha 262, Classe = 1
Linha 76, Classe = 0
Linha 449, Classe = 0
Linha 209, Classe = 0
Linha 822, Classe = 0
Linha 885, Classe = 0
Linha 17, Classe = 1
Linha 325, Classe = 1
Linha 388, Classe = 0
Linha 948, Classe = 0
Linha 572, Classe = 1
Linha 949, Classe = 1
Linha 762, Classe = 0
Linha 697, Classe = 1
Linha 139, Classe = 1
Linha 514, Classe = 0
Linha 140, Classe = 1
Linha 77, Classe = 1
Linha 450, Classe = 1
Linha 210, Classe = 1
Linha 823, Classe = 0
Linha 886, Classe = 0
Linha 18, Classe = 1
Linha 326, Classe = 0
Linha 389, Classe = 0
Linha 634, Classe = 1
Linha 573, Classe = 0
Linha 950, Classe = 0
Linha 763, Classe = 1
Linha 698, Classe = 1
Linha 263, Classe = 1
Linha 515, Classe = 0
Linha 141, Classe = 0
Linha 78, Classe = 1
Linha 451, Classe = 1
Linha 211, Classe = 0
Linha 824, Classe = 1
Linha 212, Classe = 0
Linha 19, Classe = 0
Linha 327, Classe = 1
Linha 390, Classe = 0
Linha 635, Classe = 1
Linha 574, Classe = 0
Linha 951, Classe = 1
Linha 764, Classe = 0
Linha 952, Classe = 0
Linha 264, Classe = 0
Linha 953, Classe = 1
Linha 142, Classe = 0
Linha 79, Classe = 1
Linha 452, Classe = 1
Linha 887, Classe = 1
Linha 825, Classe = 0
Linha 213, Classe = 0
Linha 20, Classe = 0
Linha 214, Classe = 1
Linha 391, Classe = 0
Linha 636, Classe = 1
Linha 392, Classe = 0
Linha 699, Classe = 0
Linha 765, Classe = 1
Linha 516, Classe = 1
Linha 766, Classe = 0
Linha 954, Classe = 1
Linha 767, Classe = 1
Linha 80, Classe = 0
Linha 768, Classe = 1
Linha 453, Classe = 1
Linha 826, Classe = 0
Linha 328, Classe = 1
Linha 827, Classe = 1
Linha 215, Classe = 1
Linha 828, Classe = 0
Linha 637, Classe = 0
Linha 393, Classe = 1
Linha 700, Classe = 0
Linha 265, Classe = 0
Linha 517, Classe = 1
Linha 143, Classe = 0
Linha 955, Classe = 0
Linha 888, Classe = 1
Linha 81, Classe = 1
Linha 769, Classe = 0
Linha 454, Classe = 0
Linha 21, Classe = 0
Linha 329, Classe = 0
Linha 575, Classe = 1
Linha 829, Classe = 1
Linha 216, Classe = 1
Linha 830, Classe = 1
Linha 394, Classe = 0
Linha 701, Classe = 0
Linha 266, Classe = 1
Linha 518, Classe = 1
Linha 144, Classe = 0
Linha 956, Classe = 0
Linha 889, Classe = 1
Linha 82, Classe = 0
Linha 770, Classe = 1
Linha 455, Classe = 1
Linha 22, Classe = 0
Linha 330, Classe = 1
Linha 576, Classe = 1
Linha 638, Classe = 0
Linha 217, Classe = 1
Linha 831, Classe = 1
Linha 395, Classe = 1
Linha 702, Classe = 0
Linha 267, Classe = 0
Linha 519, Classe = 0
Linha 145, Classe = 1
Linha 957, Classe = 1
Linha 890, Classe = 0
Linha 83, Classe = 0
Linha 771, Classe = 1
Linha 456, Classe = 0
Linha 23, Classe = 0
Linha 331, Classe = 0
Linha 577, Classe = 0
Linha 639, Classe = 1
Linha 218, Classe = 1
Linha 832, Classe = 0
Linha 396, Classe = 1
Linha 703, Classe = 0
Linha 268, Classe = 0
Linha 520, Classe = 0
Linha 146, Classe = 1
Linha 958, Classe = 1
Linha 891, Classe = 0
Linha 84, Classe = 1
Linha 772, Classe = 0
Linha 457, Classe = 0
Linha 24, Classe = 0
Linha 332, Classe = 1
Linha 578, Classe = 0
Linha 640, Classe = 0
Linha 219, Classe = 1
Linha 833, Classe = 0
Linha 397, Classe = 1
Linha 704, Classe = 0
Linha 269, Classe = 0
Linha 705, Classe = 0
Linha 147, Classe = 0
Linha 959, Classe = 0
Linha 892, Classe = 1
Linha 85, Classe = 1
Linha 773, Classe = 1
Linha 458, Classe = 1
Linha 25, Classe = 1
Linha 333, Classe = 1
Linha 579, Classe = 1
Linha 641, Classe = 0
Linha 220, Classe = 1
Linha 834, Classe = 0
Linha 398, Classe = 0
Linha 521, Classe = 0
Linha 270, Classe = 0
Linha 706, Classe = 1
Linha 148, Classe = 0
Linha 960, Classe = 1
Linha 893, Classe = 1
Linha 86, Classe = 0
Linha 774, Classe = 1
Linha 459, Classe = 1
Linha 460, Classe = 0
Linha 334, Classe = 0
Linha 580, Classe = 0
Linha 581, Classe = 1
Linha 221, Classe = 0
Linha 835, Classe = 1
Linha 399, Classe = 0
Linha 522, Classe = 1
Linha 271, Classe = 1
Linha 707, Classe = 1
Linha 149, Classe = 0
Linha 961, Classe = 1
Linha 894, Classe = 1
Linha 87, Classe = 0
Linha 775, Classe = 1
Linha 26, Classe = 0
Linha 461, Classe = 1
Linha 335, Classe = 0
Linha 642, Classe = 0
Linha 582, Classe = 1
Linha 222, Classe = 1
Linha 836, Classe = 0
Linha 400, Classe = 0
Linha 523, Classe = 0
Linha 272, Classe = 1
Linha 708, Classe = 0
Linha 150, Classe = 0
Linha 709, Classe = 0
Linha 895, Classe = 0
Linha 88, Classe = 1
Linha 776, Classe = 0
Linha 27, Classe = 0
Linha 462, Classe = 1
Linha 336, Classe = 0
Linha 643, Classe = 1
Linha 583, Classe = 0
Linha 223, Classe = 0
Linha 837, Classe = 1
Linha 401, Classe = 0
Linha 524, Classe = 1
Linha 273, Classe = 0
Linha 962, Classe = 1
Linha 151, Classe = 0
Linha 710, Classe = 1
Linha 896, Classe = 0
Linha 89, Classe = 0
Linha 777, Classe = 0
Linha 28, Classe = 0
Linha 463, Classe = 1
Linha 337, Classe = 0
Linha 644, Classe = 1
Linha 584, Classe = 1
Linha 224, Classe = 0
Linha 838, Classe = 0
Linha 402, Classe = 0
Linha 525, Classe = 1
Linha 274, Classe = 0
Linha 963, Classe = 0
Linha 152, Classe = 0
Linha 711, Classe = 1
Linha 897, Classe = 1
Linha 90, Classe = 1
Linha 778, Classe = 0
Linha 29, Classe = 1
Linha 464, Classe = 1
Linha 338, Classe = 1
Linha 645, Classe = 0
Linha 585, Classe = 1
Linha 225, Classe = 0
Linha 839, Classe = 0
Linha 840, Classe = 1
Linha 526, Classe = 1
Linha 275, Classe = 1
Linha 964, Classe = 1
Linha 153, Classe = 1
Linha 712, Classe = 1
Linha 898, Classe = 1
Linha 91, Classe = 0
Linha 779, Classe = 0
Linha 30, Classe = 0
Linha 465, Classe = 1
Linha 339, Classe = 0
Linha 646, Classe = 1
Linha 586, Classe = 1
Linha 226, Classe = 0
Linha 403, Classe = 0
Linha 404, Classe = 1
Linha 841, Classe = 1
Linha 276, Classe = 1
Linha 965, Classe = 0
Linha 154, Classe = 0
Linha 713, Classe = 1
Linha 899, Classe = 0
Linha 92, Classe = 1
Linha 780, Classe = 0
Linha 31, Classe = 0
Linha 466, Classe = 0
Linha 340, Classe = 1
Linha 647, Classe = 1
Linha 587, Classe = 0
Linha 227, Classe = 0
Linha 527, Classe = 0
Linha 405, Classe = 0
Linha 842, Classe = 0
Linha 277, Classe = 1
Linha 966, Classe = 0
Linha 155, Classe = 1
Linha 714, Classe = 1
Linha 900, Classe = 0
Linha 93, Classe = 0
Linha 781, Classe = 0
Linha 32, Classe = 1
Linha 467, Classe = 1
Linha 341, Classe = 1
Linha 648, Classe = 1
Linha 342, Classe = 1
Linha 228, Classe = 1
Linha 343, Classe = 0
Linha 406, Classe = 0
Linha 843, Classe = 1
Linha 278, Classe = 0
Linha 279, Classe = 0
Linha 156, Classe = 1
Linha 715, Classe = 1
Linha 716, Classe = 0
Linha 94, Classe = 1
Linha 782, Classe = 1
Linha 33, Classe = 1
Linha 468, Classe = 0
Linha 649, Classe = 0
Linha 588, Classe = 0
Linha 528, Classe = 1
Linha 229, Classe = 1
Linha 344, Classe = 1
Linha 407, Classe = 0
Linha 844, Classe = 0
Linha 967, Classe = 0
Linha 280, Classe = 0
Linha 157, Classe = 0
Linha 901, Classe = 0
Linha 717, Classe = 0
Linha 95, Classe = 0
Linha 783, Classe = 0
Linha 34, Classe = 0
Linha 469, Classe = 1
Linha 650, Classe = 1
Linha 589, Classe = 0
Linha 529, Classe = 0
Linha 230, Classe = 0
Linha 345, Classe = 0
Linha 408, Classe = 0
Linha 845, Classe = 0
Linha 968, Classe = 1
Linha 281, Classe = 1
Linha 158, Classe = 0
Linha 902, Classe = 1
Linha 718, Classe = 0
Linha 96, Classe = 0
Linha 784, Classe = 1
Linha 35, Classe = 0
Linha 470, Classe = 1
Linha 651, Classe = 0
Linha 590, Classe = 0
Linha 530, Classe = 1
Linha 231, Classe = 1
Linha 346, Classe = 0
Linha 409, Classe = 0
Linha 846, Classe = 0
Linha 969, Classe = 0
Linha 282, Classe = 1
Linha 159, Classe = 0
Linha 903, Classe = 1
Linha 719, Classe = 0
Linha 97, Classe = 0
Linha 785, Classe = 0
Linha 36, Classe = 0
Linha 37, Classe = 0
Linha 652, Classe = 1
Linha 591, Classe = 1
Linha 531, Classe = 0
Linha 232, Classe = 0
Linha 347, Classe = 1
Linha 410, Classe = 1
Linha 847, Classe = 0
Linha 970, Classe = 1
Linha 283, Classe = 0
Linha 160, Classe = 0
Linha 904, Classe = 0
Linha 720, Classe = 1
Linha 98, Classe = 0
Linha 786, Classe = 0
Linha 471, Classe = 0
Linha 38, Classe = 0
Linha 653, Classe = 1
Linha 592, Classe = 1
Linha 532, Classe = 1
Linha 233, Classe = 0
Linha 348, Classe = 0
Linha 411, Classe = 1
Linha 848, Classe = 1
Linha 971, Classe = 0
Linha 284, Classe = 1
Linha 161, Classe = 0
Linha 905, Classe = 0
Linha 721, Classe = 0
Linha 99, Classe = 0
Linha 787, Classe = 1
Linha 472, Classe = 0
Linha 39, Classe = 0
Linha 654, Classe = 1
Linha 593, Classe = 1
Linha 533, Classe = 0
Linha 234, Classe = 0
Linha 349, Classe = 0
Linha 412, Classe = 0
Linha 849, Classe = 0
Linha 972, Classe = 1
Linha 285, Classe = 0
Linha 162, Classe = 0
Linha 906, Classe = 0
Linha 722, Classe = 0
Linha 100, Classe = 1
Linha 723, Classe = 1
Linha 473, Classe = 0
Linha 40, Classe = 0
Linha 655, Classe = 0
Linha 594, Classe = 0
Linha 534, Classe = 0
Linha 235, Classe = 1
Linha 350, Classe = 1
Linha 413, Classe = 0
Linha 850, Classe = 0
Linha 973, Classe = 1
Linha 286, Classe = 0
Linha 163, Classe = 1
Linha 907, Classe = 0
Linha 788, Classe = 1
Linha 101, Classe = 1
Linha 724, Classe = 0
Linha 474, Classe = 0
Linha 41, Classe = 0
Linha 656, Classe = 1
Linha 595, Classe = 0
Linha 535, Classe = 0
Linha 236, Classe = 0
Linha 351, Classe = 1
Linha 414, Classe = 0
Linha 851, Classe = 0
Linha 852, Classe = 1
Linha 287, Classe = 0
Linha 164, Classe = 0
Linha 908, Classe = 0
Linha 789, Classe = 0
Linha 102, Classe = 1
Linha 725, Classe = 0
Linha 475, Classe = 0
Linha 42, Classe = 1
Linha 657, Classe = 1
Linha 596, Classe = 0
Linha 536, Classe = 0
Linha 597, Classe = 0
Linha 352, Classe = 0
Linha 415, Classe = 1
Linha 974, Classe = 0
Linha 853, Classe = 1
Linha 288, Classe = 0
Linha 165, Classe = 1
Linha 909, Classe = 0
Linha 790, Classe = 1
Linha 103, Classe = 0
Linha 726, Classe = 0
Linha 476, Classe = 0
Linha 43, Classe = 1
Linha 658, Classe = 1
Linha 237, Classe = 1
Linha 537, Classe = 1
Linha 238, Classe = 1
Linha 353, Classe = 0
Linha 416, Classe = 0
Linha 975, Classe = 0
Linha 854, Classe = 1
Linha 289, Classe = 0
Linha 166, Classe = 1
Linha 910, Classe = 1
Linha 791, Classe = 1
Linha 104, Classe = 1
Linha 727, Classe = 1
Linha 477, Classe = 0
Linha 728, Classe = 1
Linha 659, Classe = 1
Linha 598, Classe = 1
Linha 538, Classe = 0
Linha 239, Classe = 1
Linha 539, Classe = 0
Linha 240, Classe = 1
Linha 976, Classe = 0
Linha 241, Classe = 0
Linha 290, Classe = 0
Linha 242, Classe = 1
Linha 911, Classe = 0
Linha 792, Classe = 0
Linha 105, Classe = 1
Linha 44, Classe = 0
Linha 478, Classe = 0
Linha 729, Classe = 0
Linha 660, Classe = 1
Linha 599, Classe = 0
Linha 354, Classe = 0
Linha 417, Classe = 0
Linha 540, Classe = 0
Linha 855, Classe = 1
Linha 977, Classe = 1
Linha 167, Classe = 0
Linha 291, Classe = 0
Linha 243, Classe = 1
Linha 912, Classe = 0
Linha 244, Classe = 1
Linha 106, Classe = 1
Linha 45, Classe = 1
Linha 479, Classe = 1
Linha 730, Classe = 1
Linha 661, Classe = 0
Linha 600, Classe = 0
Linha 355, Classe = 0
Linha 418, Classe = 0
Linha 541, Classe = 0
Linha 856, Classe = 0
Linha 978, Classe = 1
Linha 168, Classe = 1
Linha 292, Classe = 1
Linha 793, Classe = 1
Linha 293, Classe = 1
Linha 245, Classe = 0
Linha 107, Classe = 1
Linha 246, Classe = 0
Linha 480, Classe = 1
Linha 731, Classe = 0
Linha 662, Classe = 0
Linha 601, Classe = 1
Linha 663, Classe = 0
Linha 419, Classe = 0
Linha 542, Classe = 0
Linha 857, Classe = 1
Linha 979, Classe = 0
Linha 169, Classe = 0
Linha 913, Classe = 1
Linha 794, Classe = 0
Linha 914, Classe = 0
Linha 46, Classe = 0
Linha 108, Classe = 0
Linha 247, Classe = 0
Linha 481, Classe = 1
Linha 732, Classe = 0
Linha 356, Classe = 0
Linha 602, Classe = 1
Linha 664, Classe = 0
Linha 420, Classe = 1
Linha 543, Classe = 0
Linha 858, Classe = 1
Linha 980, Classe = 1
Linha 170, Classe = 0
Linha 294, Classe = 0
Linha 795, Classe = 1
Linha 915, Classe = 0
Linha 47, Classe = 0
Linha 109, Classe = 0
Linha 248, Classe = 0
Linha 482, Classe = 0
Linha 733, Classe = 0
Linha 357, Classe = 0
Linha 603, Classe = 0
Linha 665, Classe = 0
Linha 421, Classe = 0
Linha 544, Classe = 1
Linha 859, Classe = 0
Linha 981, Classe = 0
Linha 171, Classe = 0
Linha 295, Classe = 1
Linha 796, Classe = 0
Linha 916, Classe = 0
Linha 48, Classe = 1
Linha 110, Classe = 0
Linha 483, Classe = 0
Linha 734, Classe = 0
Linha 358, Classe = 0
Linha 604, Classe = 1
Linha 666, Classe = 0
Linha 422, Classe = 0
Linha 545, Classe = 0
Linha 860, Classe = 0
Linha 982, Classe = 0
Linha 172, Classe = 0
Linha 296, Classe = 1
Linha 797, Classe = 1
Linha 917, Classe = 1
Linha 49, Classe = 1
Linha 111, Classe = 1
Linha 484, Classe = 0
Linha 735, Classe = 1
Linha 359, Classe = 0
Linha 605, Classe = 0
Linha 667, Classe = 1
Linha 423, Classe = 0
Linha 546, Classe = 1
Linha 861, Classe = 1
Linha 983, Classe = 1
Linha 173, Classe = 1
Linha 297, Classe = 1
Linha 798, Classe = 0
Linha 918, Classe = 1
Linha 50, Classe = 1
Linha 112, Classe = 0
Linha 485, Classe = 1
Linha 736, Classe = 0
Linha 360, Classe = 0
Linha 606, Classe = 0
Linha 668, Classe = 1
Linha 424, Classe = 0
Linha 547, Classe = 0
Linha 862, Classe = 0
Linha 984, Classe = 1
Linha 174, Classe = 0
Linha 298, Classe = 0
Linha 799, Classe = 0
Linha 919, Classe = 1
Linha 51, Classe = 1
Linha 113, Classe = 1
Linha 737, Classe = 1
Linha 486, Classe = 1
Linha 361, Classe = 1
Linha 607, Classe = 0
Linha 669, Classe = 1
Linha 425, Classe = 1
Linha 548, Classe = 1
Linha 863, Classe = 0
Linha 985, Classe = 0
Linha 175, Classe = 0
Linha 299, Classe = 0
Linha 800, Classe = 1
Linha 920, Classe = 0
Linha 52, Classe = 1
Linha 921, Classe = 0
Linha 738, Classe = 0
Linha 487, Classe = 0
Linha 362, Classe = 0
Linha 608, Classe = 1
Linha 670, Classe = 1
Linha 426, Classe = 0
Linha 549, Classe = 1
Linha 864, Classe = 0
Linha 986, Classe = 1
Linha 176, Classe = 0
Linha 300, Classe = 1
Linha 801, Classe = 0
Linha 114, Classe = 0
Linha 53, Classe = 1
Linha 922, Classe = 1
Linha 739, Classe = 0
Linha 488, Classe = 1
Linha 363, Classe = 1
Linha 609, Classe = 1
Linha 671, Classe = 0
Linha 427, Classe = 0
Linha 550, Classe = 0
Linha 865, Classe = 0
Linha 987, Classe = 0
Linha 177, Classe = 0
Linha 301, Classe = 1
Linha 802, Classe = 1
Linha 115, Classe = 1
Linha 54, Classe = 1
Linha 923, Classe = 0
Linha 740, Classe = 1
Linha 489, Classe = 1
Linha 364, Classe = 0
Linha 610, Classe = 1
Linha 672, Classe = 0
Linha 428, Classe = 1
Linha 551, Classe = 1
Linha 866, Classe = 0
Linha 988, Classe = 0
Linha 178, Classe = 1
Linha 989, Classe = 0
Linha 803, Classe = 1
Linha 116, Classe = 0
Linha 55, Classe = 0
Linha 924, Classe = 0
Linha 741, Classe = 0
Linha 490, Classe = 1
Linha 365, Classe = 0
Linha 611, Classe = 0
Linha 673, Classe = 1
Linha 429, Classe = 0
Linha 552, Classe = 0
Linha 867, Classe = 0
Linha 302, Classe = 1
Linha 179, Classe = 0
Linha 990, Classe = 0
Linha 804, Classe = 1
Linha 117, Classe = 1
Linha 56, Classe = 0
Linha 925, Classe = 0
Linha 742, Classe = 0
Linha 491, Classe = 0
Linha 366, Classe = 0
Linha 612, Classe = 0
Linha 674, Classe = 0
Linha 430, Classe = 1
Linha 675, Classe = 0
Linha 868, Classe = 1
Linha 303, Classe = 0
Linha 180, Classe = 1
Linha 991, Classe = 0
Linha 805, Classe = 0
Linha 118, Classe = 0
Linha 57, Classe = 0
Linha 926, Classe = 1
Linha 743, Classe = 0
Linha 492, Classe = 1
Linha 367, Classe = 1
Linha 613, Classe = 1
Linha 553, Classe = 0
Linha 431, Classe = 0
Linha 676, Classe = 0
Linha 304, Classe = 0
Linha 181, Classe = 1
Linha 992, Classe = 0
Linha 806, Classe = 1
Linha 119, Classe = 0
Linha 58, Classe = 1
Linha 927, Classe = 1
Linha 744, Classe = 0
Linha 493, Classe = 1
Linha 368, Classe = 0
Linha 614, Classe = 0
Linha 554, Classe = 1
Linha 555, Classe = 1
Linha 677, Classe = 0
Linha 305, Classe = 1
Linha 182, Classe = 1
Linha 993, Classe = 0
Linha 120, Classe = 0
Linha 59, Classe = 0
Linha 928, Classe = 1
Linha 494, Classe = 0
Linha 369, Classe = 0
Linha 615, Classe = 0
Linha 432, Classe = 0
Linha 556, Classe = 0
Linha 678, Classe = 0
Linha 306, Classe = 1
Linha 679, Classe = 1
Linha 994, Classe = 1
Linha 680, Classe = 0
Linha 995, Classe = 0
Linha 929, Classe = 0
Linha 495, Classe = 0
Linha 370, Classe = 0
Linha 616, Classe = 0
Linha 433, Classe = 0
Linha 557, Classe = 0
Linha 183, Classe = 0
Linha 307, Classe = 1
Linha 121, Classe = 0
Linha 60, Classe = 0
Linha 681, Classe = 1
Linha 996, Classe = 0
Linha 930, Classe = 0
Linha 496, Classe = 1
Linha 371, Classe = 1
Linha 617, Classe = 1
Linha 434, Classe = 1
Linha 558, Classe = 1
Linha 184, Classe = 0
Linha 308, Classe = 1
Linha 122, Classe = 0
Linha 61, Classe = 0
Linha 682, Classe = 1
Linha 997, Classe = 0
Linha 372, Classe = 0
Linha 618, Classe = 0
Linha 185, Classe = 1
Linha 309, Classe = 0
Linha 123, Classe = 0
Linha 62, Classe = 0
Linha 998, Classe = 1
Linha 619, Classe = 0
Linha 186, Classe = 0
Linha 310, Classe = 1
Linha 124, Classe = 0
Linha 999, Classe = 1
Linha 620, Classe = 1
Linha 1000, Classe = 0
Total de acertos: 496 (49.60%)
Total de erros: 504 (50.40%)
